Time,RSteps,X,Y,Z
598.8589,0,-3173.62,-5687.144,1267.057
598.8389,0,-3173.62,-5687.144,1267.057
598.8188,0,-3173.62,-5687.144,1267.057
598.7988,0,-3173.62,-5687.144,1267.057
598.7788,0,-3173.62,-5687.144,1267.057
598.7588,0,-3173.62,-5687.144,1267.057
598.7388,0,-3173.62,-5687.144,1267.057
598.7188,0,-3173.62,-5687.144,1267.057
598.6987,0,-3173.62,-5687.144,1267.057
598.6787,0,-3173.62,-5687.144,1267.057
598.6587,0,-3173.62,-5687.144,1267.057
598.6387,0,-3173.62,-5687.144,1267.057
598.6187,0,-3173.62,-5687.144,1267.057
598.5986,0,-3173.62,-5687.144,1267.057
598.5786,0,-3173.62,-5687.144,1267.057
598.5586,0,-3173.62,-5687.144,1267.057
598.5386,0,-3173.62,-5687.144,1267.057
598.5186,0,-3173.62,-5687.144,1267.057
598.4985,0,-3173.62,-5687.144,1267.057
598.4785,0,-3173.62,-5687.144,1267.057
598.4585,0,-3173.62,-5687.144,1267.057
598.4385,0,-3173.62,-5687.144,1267.057
598.4185,1,-3173.62,-5687.144,1267.057
598.3984,1,-3173.62,-5687.144,1267.057
598.3784,1,-3173.575,-5687.13,1267.013
598.3584,1,-3173.552,-5687.123,1266.99
598.3384,1,-3173.528,-5687.115,1266.967
598.3184,1,-3173.505,-5687.108,1266.945
598.2983,1,-3173.482,-5687.1,1266.922
598.2783,1,-3173.434,-5687.085,1266.876
598.2583,1,-3173.413,-5687.078,1266.855
598.2383,1,-3173.389,-5687.071,1266.833
598.2183,1,-3173.366,-5687.063,1266.81
598.1982,1,-3173.342,-5687.056,1266.787
598.1782,1,-3173.297,-5687.042,1266.743
598.1582,1,-3173.273,-5687.034,1266.719
598.1382,1,-3173.25,-5687.027,1266.698
598.1182,1,-3173.227,-5687.02,1266.675
598.0981,1,-3173.199,-5687.011,1266.648
598.0781,1,-3173.176,-5687.003,1266.625
598.0581,1,-3173.13,-5686.989,1266.58
598.0381,1,-3173.107,-5686.981,1266.558
598.0181,1,-3173.084,-5686.974,1266.535
597.998,1,-3173.061,-5686.967,1266.513
597.978,1,-3173.014,-5686.952,1266.468
597.958,1,-3172.991,-5686.944,1266.445
597.938,1,-3172.967,-5686.937,1266.422
597.918,1,-3172.945,-5686.93,1266.4
597.8979,1,-3172.921,-5686.922,1266.377
597.8779,1,-3172.875,-5686.908,1266.333
597.8579,1,-3172.852,-5686.9,1266.31
597.8379,1,-3172.829,-5686.893,1266.287
597.8179,1,-3172.805,-5686.886,1266.265
597.7979,1,-3172.783,-5686.878,1266.242
597.7778,1,-3172.736,-5686.864,1266.197
597.7578,1,-3172.713,-5686.856,1266.175
597.7378,1,-3172.69,-5686.849,1266.152
597.7178,1,-3172.666,-5686.841,1266.129
597.6978,1,-3172.644,-5686.834,1266.107
597.6777,1,-3172.597,-5686.819,1266.062
597.6577,1,-3172.574,-5686.812,1266.04
597.6377,1,-3172.55,-5686.805,1266.017
597.6177,1,-3172.527,-5686.797,1265.994
597.5977,1,-3172.502,-5686.79,1265.97
597.5776,1,-3172.455,-5686.774,1265.924
597.5576,1,-3172.432,-5686.767,1265.902
597.5376,1,-3172.409,-5686.76,1265.879
597.5176,1,-3172.386,-5686.752,1265.857
597.4976,1,-3172.363,-5686.745,1265.834
597.4775,1,-3172.358,-5686.744,1265.83
597.4575,1,-3172.358,-5686.744,1265.83
597.4375,1,-3172.358,-5686.744,1265.83
